,precision,recall,f1-score,support
0,0.4583333333333333,0.4230769230769231,0.43999999999999995,26.0
1,0.7058823529411765,0.5853658536585366,0.64,41.0
2,0.5882352941176471,0.7142857142857143,0.6451612903225806,28.0
3,0.5925925925925926,0.9142857142857143,0.7191011235955056,35.0
4,0.4375,0.3333333333333333,0.37837837837837834,42.0
5,0.2727272727272727,0.21428571428571427,0.23999999999999996,28.0
accuracy,0.535,0.535,0.535,0.535
macro avg,0.5092118076186704,0.5307722088209893,0.5104401320494107,200.0
weighted avg,0.5204026787482671,0.535,0.5176247367338341,200.0
