Feature,Anger,Anxiety,Boredom,Happiness,Neutral
const,0.572401893957798,4.972788750256443e-07,4.1623918575825853e-07,5.996613077590041e-06,0.015888415980098807
Posts_Per_Day,4.1024683661619076e-07,0.8448905216220187,0.04376438345842258,0.05263077363122095,0.8638473473791862
Daily_Usage_Time (minutes),0.17083451695201457,0.00018677094939217984,2.8264744306307456e-09,0.03813048352685566,0.7647082702845934
Likes_Received_Per_Day,2.2027622669014726e-06,0.0157149285209639,0.0028433778457281267,1.729492048400174e-06,2.286631874816826e-05
Comments_Received_Per_Day,3.674409884850704e-08,0.00151162733397859,0.056329589998246776,7.833783287703031e-15,5.914750974965106e-15
Messages_Sent_Per_Day,0.0723306600356564,0.0738957427508049,0.003967213063442416,0.13514375133732132,0.39372217799673437
